,room_type,accommodates,bedrooms,beds,host_response_rate,latitude,longitude,number_of_reviews,review_scores_rating,bath_size,bath_type,price_log
1715,Private room,4,1.0,2.0,0,13.7662,100.66344,0,0.0,2.0,bath,6.907755278982137
1716,Entire home/apt,2,1.0,1.0,100,13.73195,100.58062,35,4.57,1.0,bath,6.610696044717759
1717,Entire home/apt,2,1.0,1.0,0,13.74543,100.58495,0,0.0,2.0,bath,6.684611727667927
1718,Shared room,6,1.0,6.0,65,13.75284,100.53124,4,5.0,2.0,shared bath,6.214608098422191
1719,Entire home/apt,4,2.0,2.0,100,13.7076,100.62504,7,3.43,1.0,bath,6.541029999189903
1720,Entire home/apt,2,1.0,1.0,0,13.73999,100.44858,1,4.0,1.0,bath,7.213031659834869
1721,Entire home/apt,2,1.0,1.0,100,13.73476,100.64098,35,4.71,1.0,bath,6.320768294250582
1722,Private room,2,1.0,1.0,0,13.77239,100.6123,0,0.0,1.0,bath,7.4570320891223805
1723,Entire home/apt,2,1.0,1.0,100,13.70605,100.59918,30,4.67,1.0,bath,6.551080335043404
1724,Private room,2,1.0,2.0,98,13.73373,100.52154,3,4.0,1.0,bath,6.551080335043404
1726,Entire home/apt,3,1.0,1.0,75,13.68643,100.63639,10,4.3,1.0,bath,6.419994928147142
1727,Private room,2,1.0,1.0,0,13.74715,100.52619,2,3.0,1.0,bath,7.003065458786462
1728,Private room,3,1.0,2.0,0,13.74704,100.5277,0,0.0,1.0,bath,7.090076835776092
1729,Entire home/apt,3,1.0,1.0,100,13.83178,100.54105,46,4.63,1.0,bath,6.907755278982137
1730,Hotel room,2,1.0,1.0,0,13.75468,100.50193,1,4.0,6.5,shared bath,6.672032945461067
1731,Private room,2,1.0,1.0,90,13.71315,100.46593,30,4.9,1.0,bath,6.214608098422191
1732,Private room,2,1.0,1.0,0,13.71006,100.59694,0,0.0,1.0,bath,6.745236349484363
1733,Private room,2,1.0,1.0,0,13.78479,100.58509,1,4.0,1.0,bath,6.214608098422191
1734,Private room,2,1.0,1.0,88,13.76326,100.61702,0,0.0,1.0,bath,7.313220387090301
1735,Private room,2,1.0,1.0,80,13.73015,100.58157,49,4.31,1.0,bath,6.551080335043404
1736,Entire home/apt,2,1.0,1.0,100,13.66706,100.65242,31,4.81,1.0,bath,6.214608098422191
1737,Entire home/apt,5,2.0,2.0,0,13.75829,100.53295,1,1.0,1.0,bath,8.006367567650246
1738,Entire home/apt,6,4.0,3.0,0,13.73263,100.68938,0,0.0,3.0,bath,8.294049640102028
1739,Private room,3,1.0,1.0,0,13.74866,100.55667,0,0.0,1.0,bath,7.465655310134056
1740,Entire home/apt,2,1.0,2.0,100,13.699,100.60756,1,4.0,1.0,bath,7.170119543449628
1741,Private room,2,1.0,1.0,100,13.71061,100.60465,0,0.0,1.0,bath,8.033334015880062
1742,Private room,2,1.0,1.0,0,13.76195,100.50128,0,0.0,1.0,bath,7.382124365737512
1743,Entire home/apt,8,3.0,4.0,0,13.7434,100.59337,30,5.0,2.5,bath,9.143131622282732
1744,Entire home/apt,4,2.0,2.0,0,13.72117,100.49697,0,0.0,2.0,bath,7.600902459542082
1745,Entire home/apt,4,2.0,2.0,100,13.74567,100.55694,24,4.91,2.0,bath,8.039157390473237
1746,Private room,2,1.0,1.0,100,13.7295,100.57613,1,5.0,1.0,private bath,6.96979066990159
1747,Private room,2,1.0,1.0,67,13.68474,100.50138,2,3.0,1.0,bath,6.856461984594587
1748,Private room,2,1.0,1.0,80,13.73017,100.58156,26,4.36,1.0,bath,6.551080335043404
1749,Private room,2,1.0,1.0,100,13.73897,100.51488,220,4.88,1.0,shared bath,7.170119543449628
1751,Private room,4,1.0,2.0,0,13.69394,100.4307,0,0.0,1.0,bath,7.696212639346407
1752,Entire home/apt,6,1.0,3.0,100,13.75784,100.5079,181,4.63,1.0,bath,6.80128303447162
1753,Entire home/apt,2,1.0,1.0,100,13.71688,100.51712,0,0.0,1.0,bath,6.907755278982137
1754,Entire home/apt,2,1.0,1.0,100,13.68033,100.61159,52,4.71,1.0,bath,6.29156913955832
1756,Private room,2,1.0,1.0,100,13.78877,100.55046,76,4.64,1.0,private bath,6.716594773520978
1757,Private room,2,1.0,1.0,100,13.78908,100.55028,24,4.63,1.0,private bath,6.716594773520978
1758,Entire home/apt,2,1.0,1.0,100,13.74036,100.51359,231,4.78,1.0,bath,7.7406644019172415
1759,Private room,2,1.0,1.0,0,13.73025,100.58943,0,0.0,1.0,bath,7.549082710812286
1760,Private room,2,1.0,1.0,0,13.72837,100.59083,1,4.0,1.0,bath,7.740229524763182
1761,Private room,2,1.0,1.0,100,13.78976,100.55033,129,4.6,1.0,private bath,6.716594773520978
1762,Entire home/apt,8,3.0,3.0,93,13.73781,100.57183,2,5.0,3.0,bath,9.21024036697585
1763,Shared room,4,1.0,4.0,0,13.72371,100.52687,0,0.0,2.0,shared bath,7.090076835776092
1764,Hotel room,2,1.0,1.0,58,13.75883,100.54322,124,4.45,1.0,private bath,7.311218384419629
1765,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,139,4.77,1.0,bath,6.478509642208569
1766,Entire home/apt,2,1.0,1.0,100,13.8077,100.57217,67,4.78,1.0,bath,7.27931883541462
1767,Entire home/apt,4,2.0,2.0,93,13.75749,100.49476,22,3.59,1.0,bath,8.411832675758411
1768,Entire home/apt,4,2.0,2.0,93,13.75823,100.49626,36,4.14,1.0,bath,8.411832675758411
1769,Private room,2,1.0,1.0,100,13.88852,100.59296,451,4.96,1.0,private bath,6.814542897259958
1770,Private room,2,1.0,1.0,0,13.70368,100.60475,1,0.0,1.0,bath,7.824046010856292
1771,Entire home/apt,2,1.0,1.0,0,13.75525,100.57643,2,4.5,1.0,bath,6.907755278982137
1772,Entire home/apt,2,1.0,1.0,100,13.77363,100.65859,2,5.0,1.0,bath,6.897704943128636
1773,Entire home/apt,2,1.0,1.0,100,13.71751,100.5501,88,4.91,1.0,bath,6.476972362889683
1774,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,133,4.83,1.0,bath,6.580639137284949
1775,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,91,4.82,1.0,bath,6.620073206530356
1776,Hotel room,2,1.0,2.0,0,13.72414,100.52215,11,4.82,1.0,shared bath,6.907755278982137
1777,Entire home/apt,3,2.0,2.0,86,13.75028,100.52632,36,4.91,1.0,bath,7.2078598714324755
1778,Private room,2,1.0,2.0,100,13.7355,100.568,8,4.75,1.0,bath,8.044626279767337
1779,Private room,2,1.0,1.0,100,13.75409,100.78909,2,5.0,1.0,bath,6.492239835020471
1780,Entire home/apt,2,1.0,1.0,0,13.71787,100.54876,30,4.87,1.0,bath,6.946013991099227
1781,Entire home/apt,2,1.0,1.0,0,13.69125,100.5048,0,0.0,1.0,bath,9.210340371976184
1782,Entire home/apt,2,1.0,1.0,100,13.71306,100.60029,34,4.94,1.0,bath,6.785587645007929
1783,Private room,16,1.0,1.0,0,13.69101,100.63912,0,0.0,1.0,bath,6.684611727667927
1785,Entire home/apt,4,1.0,2.0,100,13.72262,100.57961,157,4.74,1.0,bath,7.080867896690782
1786,Entire home/apt,2,1.0,1.0,100,13.69731,100.60784,64,4.8,1.0,bath,6.309918278226516
1787,Entire home/apt,2,2.0,2.0,0,13.81733,100.5645,0,0.0,1.0,bath,6.802394763324311
1788,Private room,2,1.0,1.0,0,13.74138,100.56092,0,0.0,1.0,bath,7.090076835776092
1789,Entire home/apt,2,1.0,1.0,100,13.72741,100.57481,10,5.0,1.0,bath,6.907755278982137
1790,Hotel room,2,1.0,1.0,100,13.73723,100.52182,31,4.71,3.0,shared bath,6.86171134048073
1791,Entire home/apt,7,3.0,5.0,100,13.72368,100.52423,120,4.63,2.0,bath,7.9909154630913255
1792,Private room,3,1.0,2.0,0,13.66144,100.61045,0,0.0,1.0,bath,7.090076835776092
1793,Private room,1,1.0,1.0,93,13.70747,100.5992,14,4.64,1.0,bath,7.243512974665482
1794,Entire home/apt,4,1.0,4.0,100,13.72494,100.49627,40,4.98,2.0,bath,7.090076835776092
1795,Entire home/apt,2,1.0,1.0,99,13.7247,100.53238,101,4.52,1.0,bath,7.535830462798367
1796,Private room,6,2.0,4.0,85,13.74889,100.53098,0,0.0,4.0,bath,7.233455418621439
1797,Private room,3,1.0,1.0,85,13.75235,100.52499,0,0.0,1.0,shared bath,7.10002716662926
1798,Entire home/apt,2,1.0,1.0,100,13.73589,100.56514,0,0.0,1.0,bath,7.438383530044307
1799,Hotel room,2,1.0,1.0,58,13.75769,100.54419,196,4.57,1.0,private bath,7.300472814267799
1800,Private room,2,1.0,1.0,80,13.73016,100.58153,3,4.67,1.0,bath,6.802394763324311
1801,Entire home/apt,3,2.0,2.0,50,13.78853,100.54394,1,3.0,1.0,bath,8.200562797008564
1802,Entire home/apt,4,2.0,2.0,100,13.74476,100.55572,1,5.0,2.0,bath,7.8632667240095735
1803,Entire home/apt,3,2.0,2.0,100,13.74503,100.58613,10,4.44,1.0,bath,7.8632667240095735
